cod_uf,year,cases,death,CFR,year_label,state
12,2022,66,0,0,8_2022,AC
13,2022,171,0,0,8_2022,AM
14,2022,101,0,0,8_2022,RR
15,2022,312,0,0,8_2022,PA
16,2022,30,0,0,8_2022,AM
17,2022,4074,0,0,8_2022,TO
21,2022,2278,3,1.3,8_2022,MA
22,2022,10807,8,0.7,8_2022,PI
23,2022,52175,40,0.8,8_2022,CE
24,2022,13925,7,0.5,8_2022,RN
25,2022,18944,22,1.2,8_2022,PB
26,2022,16653,4,0.2,8_2022,PE
27,2022,10944,2,0.2,8_2022,AL
28,2022,3939,3,0.8,8_2022,SE
29,2022,18679,1,0.1,8_2022,BA
31,2022,12589,0,0,8_2022,MG
32,2022,1169,0,0,8_2022,ES
33,2022,696,1,1.4,8_2022,RJ
35,2022,1545,0,0,8_2022,SP
41,2022,303,0,0,8_2022,PR
42,2022,161,0,0,8_2022,SC
43,2022,233,0,0,8_2022,RS
50,2022,707,0,0,8_2022,MS
51,2022,239,0,0,8_2022,MT
52,2022,4466,9,2,8_2022,GO
53,2022,578,0,0,8_2022,DF
11,2023,100,0,0,9_2023,RO
12,2023,40,0,0,9_2023,AC
13,2023,81,0,0,9_2023,AM
14,2023,24,0,0,9_2023,RR
15,2023,305,0,0,9_2023,PA
16,2023,11,0,0,9_2023,AM
17,2023,4812,0,0,9_2023,TO
21,2023,1879,0,0,9_2023,MA
22,2023,2544,1,0.4,9_2023,PI
23,2023,1870,0,0,9_2023,CE
24,2023,1739,0,0,9_2023,RN
25,2023,820,0,0,9_2023,PB
26,2023,2141,2,0.9,9_2023,PE
27,2023,330,0,0,9_2023,AL
28,2023,950,0,0,9_2023,SE
29,2023,10160,0,0,9_2023,BA
31,2023,71700,20,0.3,9_2023,MG
32,2023,5319,1,0.2,9_2023,ES
33,2023,667,0,0,9_2023,RJ
35,2023,2633,1,0.4,9_2023,SP
41,2023,2428,3,1.2,9_2023,PR
42,2023,221,0,0,9_2023,SC
43,2023,164,0,0,9_2023,RS
50,2023,5406,2,0.4,9_2023,MS
51,2023,233,0,0,9_2023,MT
52,2023,1405,4,2.8,9_2023,GO
53,2023,466,0,0,9_2023,DF
